Common Name,Station Number,Station Description,Sample Years,Total Fish Count,Yearly Average,Waterway,x,y
rock bass,        37,North Branch Chicago River at Wilson Avenue,2001,1,1,North Branch Chicago River,-9762427.895694703,5155720.021993471
goldfish,        37,North Branch Chicago River at Wilson Avenue,2001,6,6,North Branch Chicago River,-9762427.895694703,5155720.021993471
rock bass,        46,North Branch Chicago River at Grand Avenue,2001,1,1,North Branch Chicago River,-9756156.248665709,5144758.297382973
spottail shiner,        35,North Shore Channel at Central Street,2001,3,3,North Shore Channel,-9761286.946422856,5170628.6171330195
fathead minnow,       101,North Shore Channel at Foster Avenue,2001,1,1,North Shore Channel,-9763248.504184216,5157380.484896455
green sunfish x pumpkinseed,       101,North Shore Channel at Foster Avenue,2001,2,2,North Shore Channel,-9763248.504184216,5157380.484896455
walleye,        18,Salt Creek at Devon Avenue,2002,1,1,Salt Creek,-9795587.075606022,5159923.790866642
spotfin shiner,        78,Higgins Creek at Wille Road,"2001, 2002",4,2,Higgins Creek,-9789066.534741784,5163778.873133089
pumpkinseed,        18,Salt Creek at Devon Avenue,2002,1,1,Salt Creek,-9795587.075606022,5159923.790866642
golden shiner,        91,Des Plaines River at Material Service Road,2002,1,1,Des Plaines River,-9803757.593335949,5100729.017568359
fathead minnow,        91,Des Plaines River at Material Service Road,"2001, 2002",2,1,Des Plaines River,-9803757.593335949,5100729.017568359
white perch,        36,North Shore Channel at Touhy Avenue,2002,1,1,North Shore Channel,-9763880.193364626,5162772.158302309
warmouth,        74,Chicago River at Lake Shore Drive,2002,1,1,Chicago River,-9753112.184339533,5144283.186382862
goldfish,        74,Chicago River at Lake Shore Drive,2002,2,2,Chicago River,-9753112.184339533,5144283.186382862
channel catfish,        40,Chicago Sanitary and Ship Canal at Damen Avenue,2002,2,2,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
goldfish,        40,Chicago Sanitary and Ship Canal at Damen Avenue,2002,1,1,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
black crappie,       100,Chicago River at Wells Street,2002,1,1,Chicago River,-9755339.676982595,5144145.544547021
goldfish,       100,Chicago River at Wells Street,2002,1,1,Chicago River,-9755339.676982595,5144145.544547021
smallmouth bass,        39,South Branch Chicago River at Madison Street,2002,2,2,South Branch Chicago River,-9755836.894673718,5143332.001117509
yellow bullhead,        42,Chicago Sanitary and Ship Canal at Route 83,2002,1,1,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
emerald shiner,       100,Chicago River at Wells Street,2002,11,11,Chicago River,-9755339.676982595,5144145.544547021
green sunfish x pumpkinseed,       108,South Branch Chicago River at Loomis Street,2002,4,4,South Branch Chicago River,-9758326.630046986,5137947.951214144
alewife,        39,South Branch Chicago River at Madison Street,2002,1,1,South Branch Chicago River,-9755836.894673718,5143332.001117509
bluntnose minnow,        39,South Branch Chicago River at Madison Street,2002,1,1,South Branch Chicago River,-9755836.894673718,5143332.001117509
green sunfish,        42,Chicago Sanitary and Ship Canal at Route 83,2002,2,2,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
common carp,        42,Chicago Sanitary and Ship Canal at Route 83,2002,3,3,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
skipjack herring,        76,Little Calumet River at Halsted Street,2002,1,1,Little Calumet River,-9756147.689317683,5109826.122291395
channel catfish,        13,Des Plaines River at Lake-Cook Road,"2002, 2003",2,1,Des Plaines River,-9786103.272410415,5183885.200209065
round goby,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),2003,1,1,Wolf Lake Drain,-9744778.986089032,5110875.941051556
pirate perch,        91,Des Plaines River at Material Service Road,2003,1,1,Des Plaines River,-9803757.593335949,5100729.017568359
carp x goldfish,        41,Chicago Sanitary and Ship Canal at Harlem Avenue,2003,1,1,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
goldfish,        43,Calumet-Sag Channel at Route 83,2003,1,1,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
yellow bass,        58,Calumet-Sag Channel at Ashland Avenue,2003,2,2,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
white perch,        58,Calumet-Sag Channel at Ashland Avenue,2003,3,3,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
green sunfish x bluegill,        58,Calumet-Sag Channel at Ashland Avenue,2003,1,1,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
gizzard shad,        97,Thorn Creek at 170th Street,2003,1,1,Thorn Creek,-9748874.28283881,5099238.777878965
goldfish,       109,Salt Creek at Brookfield Avenue,2004,8,8,Salt Creek,-9778479.118246686,5134478.740255858
pumpkinseed,       110,West Branch DuPage River at Springinsguth Road,2004,2,2,West Branch Du Page River,-9809372.143319122,5162219.006850576
common carp,        12,Buffalo Creek at Lake-Cook Road,2004,1,1,Buffalo Creek,-9792683.493154097,5183751.728609537
warmouth,        12,Buffalo Creek at Lake-Cook Road,2004,1,1,Buffalo Creek,-9792683.493154097,5183751.728609537
orangespotted sunfish,        12,Buffalo Creek at Lake-Cook Road,2004,1,1,Buffalo Creek,-9792683.493154097,5183751.728609537
green sunfish x pumpkinseed,        12,Buffalo Creek at Lake-Cook Road,2004,2,2,Buffalo Creek,-9792683.493154097,5183751.728609537
northern pike,        13,Des Plaines River at Lake-Cook Road,2004,1,1,Des Plaines River,-9786103.272410415,5183885.200209065
white sucker,        18,Salt Creek at Devon Avenue,"2003, 2004",4,2,Salt Creek,-9795587.075606022,5159923.790866642
warmouth,        22,Des Plaines River at Ogden Avenue,2004,1,1,Des Plaines River,-9775033.160497827,5134155.08934849
northern pike,        29,Des Plaines River at Stephen Street,2004,1,1,Des Plaines River,-9796385.089554068,5113414.579669373
channel catfish,        29,Des Plaines River at Stephen Street,2004,1,1,Des Plaines River,-9796385.089554068,5113414.579669373
green sunfish x pumpkinseed,        80,Salt Creek at Arlington Heights Road,2004,1,1,Salt Creek,-9796254.99295483,5162818.28541295
white sucker,        89,West Branch DuPage River at Walnut Lane,2004,1,1,West Branch Du Page River,-9811290.549648687,5160344.011074602
black bullhead,        89,West Branch DuPage River at Walnut Lane,2004,1,1,West Branch Du Page River,-9811290.549648687,5160344.011074602
white sucker,        90,Poplar Creek at Route 19,2004,2,2,Poplar Creek,-9823047.74711789,5165577.94301833
golden redhorse,        90,Poplar Creek at Route 19,2004,1,1,Poplar Creek,-9823047.74711789,5165577.94301833
black bullhead,        90,Poplar Creek at Route 19,2004,1,1,Poplar Creek,-9823047.74711789,5165577.94301833
bowfin,        91,Des Plaines River at Material Service Road,2004,1,1,Des Plaines River,-9803757.593335949,5100729.017568359
largemouth bass,        17,Des Plaines River at Oakton Street,2004,1,1,Des Plaines River,-9782189.77125312,5164756.208222484
black bullhead,        79,Salt Creek at Higgins Road,2004,1,1,Salt Creek,-9797375.60963822,5165675.359292448
carp x goldfish,        75,Chicago Sanitary and Ship Canal at Cicero Avenue,"2001, 2002, 2003, 2004",7,1,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
black crappie,        59,Calumet-Sag Channel at Cicero Avenue,2004,1,1,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
black crappie,        19,Des Plaines River at Belmont Avenue,2004,1,1,Des Plaines River,-9779371.53102385,5151588.097147647
channel catfish,        23,Des Plaines River at Willow Springs Road,2004,1,1,Des Plaines River,-9782918.22214516,5121485.94585754
freshwater drum,        23,Des Plaines River at Willow Springs Road,2004,1,1,Des Plaines River,-9782918.22214516,5121485.94585754
yellow perch,        23,Des Plaines River at Willow Springs Road,2004,1,1,Des Plaines River,-9782918.22214516,5121485.94585754
blackstripe topminnow,        23,Des Plaines River at Willow Springs Road,2004,1,1,Des Plaines River,-9782918.22214516,5121485.94585754
spottail shiner,        23,Des Plaines River at Willow Springs Road,2004,1,1,Des Plaines River,-9782918.22214516,5121485.94585754
white sucker,        20,Des Plaines River at Roosevelt Road,2004,5,5,Des Plaines River,-9776892.815460142,5140724.864266957
sauger,        23,Des Plaines River at Willow Springs Road,2004,7,7,Des Plaines River,-9782918.22214516,5121485.94585754
orangespotted sunfish,        13,Des Plaines River at Lake-Cook Road,"2003, 2005",13,6,Des Plaines River,-9786103.272410415,5183885.200209065
black bullhead,        31,Middle Fork North Branch Chicago River at Lake-Cook Road,"2001, 2005",2,1,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
common carp,        32,Skokie River at Lake-Cook Road,2005,4,4,Skokie River,-9773171.65434657,5183881.030230567
bluegill,        32,Skokie River at Lake-Cook Road,"2001, 2005",21,10,Skokie River,-9773171.65434657,5183881.030230567
bluegill,       103,West Fork North Branch Chicago River at Golf Road,"2001, 2005",3,1,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
common carp,       105,Skokie River at Frontage Road,2005,1,1,Skokie River,-9769467.187323028,5174142.560835846
green sunfish x bluegill,       105,Skokie River at Frontage Road,2005,1,1,Skokie River,-9769467.187323028,5174142.560835846
yellow bullhead,       104,North Branch Chicago River at Glenview Road,2005,1,1,North Branch Chicago River,-9770990.71844705,5171319.185344051
white sucker,       104,North Branch Chicago River at Glenview Road,2005,1,1,North Branch Chicago River,-9770990.71844705,5171319.185344051
green sunfish,       104,North Branch Chicago River at Glenview Road,"2001, 2005",10,5,North Branch Chicago River,-9770990.71844705,5171319.185344051
fathead minnow,        31,Middle Fork North Branch Chicago River at Lake-Cook Road,2005,2,2,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
goldfish,       106,West Fork North Branch Chicago River at Dundee Road,2005,1,1,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
common carp,        34,North Branch Chicago River at Dempster Street,2005,5,5,North Branch Chicago River,-9772519.197048591,5167261.607014383
blackstripe topminnow,        34,North Branch Chicago River at Dempster Street,2005,3,3,North Branch Chicago River,-9772519.197048591,5167261.607014383
bigmouth shiner,        78,Higgins Creek at Wille Road,"2001, 2005",9,4,Higgins Creek,-9789066.534741784,5163778.873133089
channel catfish,       102,North Shore Channel at Oakton Street,2005,1,1,North Shore Channel,-9763838.713194087,5164984.791142569
carp x goldfish,        35,North Shore Channel at Central Street,2005,5,5,North Shore Channel,-9761286.946422856,5170628.6171330195
pumpkinseed x bluegill,        41,Chicago Sanitary and Ship Canal at Harlem Avenue,2005,1,1,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
white perch,        37,North Branch Chicago River at Wilson Avenue,2005,1,1,North Branch Chicago River,-9762427.895694703,5155720.021993471
black bullhead,        37,North Branch Chicago River at Wilson Avenue,2005,1,1,North Branch Chicago River,-9762427.895694703,5155720.021993471
pumpkinseed x bluegill,       101,North Shore Channel at Foster Avenue,2005,3,3,North Shore Channel,-9763248.504184216,5157380.484896455
green sunfish,       101,North Shore Channel at Foster Avenue,"2001, 2005",6,3,North Shore Channel,-9763248.504184216,5157380.484896455
black crappie,       101,North Shore Channel at Foster Avenue,"2001, 2005",3,1,North Shore Channel,-9763248.504184216,5157380.484896455
spottail shiner,       102,North Shore Channel at Oakton Street,2005,2,2,North Shore Channel,-9763838.713194087,5164984.791142569
sand shiner,        73,North Branch Chicago River at Diversey Parkway,2005,1,1,North Branch Chicago River,-9760793.273420712,5150867.342273781
orangespotted sunfish,       101,North Shore Channel at Foster Avenue,"2001, 2005",4,2,North Shore Channel,-9763248.504184216,5157380.484896455
emerald shiner,       101,North Shore Channel at Foster Avenue,2005,4,4,North Shore Channel,-9763248.504184216,5157380.484896455
spottail shiner,       101,North Shore Channel at Foster Avenue,2005,2,2,North Shore Channel,-9763248.504184216,5157380.484896455
skipjack herring,        92,Chicago Sanitary and Ship Canal at Lockport (16th Street),2005,3,3,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
pumpkinseed x bluegill,        76,Little Calumet River at Halsted Street,2005,1,1,Little Calumet River,-9756147.689317683,5109826.122291395
common carp,        13,Des Plaines River at Lake-Cook Road,"2003, 2006",4,2,Des Plaines River,-9786103.272410415,5183885.200209065
black crappie,        18,Salt Creek at Devon Avenue,2006,2,2,Salt Creek,-9795587.075606022,5159923.790866642
golden shiner,        18,Salt Creek at Devon Avenue,2006,1,1,Salt Creek,-9795587.075606022,5159923.790866642
green sunfish x bluegill,        64,West Branch DuPage River at Lake Street,"2002, 2006",2,1,West Branch Du Page River,-9810939.89297938,5157781.364521299
common carp,        78,Higgins Creek at Wille Road,2006,1,1,Higgins Creek,-9789066.534741784,5163778.873133089
gizzard shad,        40,Chicago Sanitary and Ship Canal at Damen Avenue,"2002, 2006",61,30,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
goldfish,        36,North Shore Channel at Touhy Avenue,"2001, 2002, 2003, 2004, 2005, 2006",15,2,North Shore Channel,-9763880.193364626,5162772.158302309
common carp,        40,Chicago Sanitary and Ship Canal at Damen Avenue,"2002, 2006",96,48,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
common carp,        48,Chicago Sanitary and Ship Canal at Stephen Street,"2002, 2006",3,1,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
emerald shiner,        40,Chicago Sanitary and Ship Canal at Damen Avenue,"2002, 2006",6,3,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
emerald shiner,        99,Bubbly Creek at Archer Avenue,"2002, 2006",4,2,Bubbly Creek,-9758696.948071491,5136817.240627698
spotfin shiner,        42,Chicago Sanitary and Ship Canal at Route 83,2006,1,1,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
spotfin shiner,        99,Bubbly Creek at Archer Avenue,2006,8,8,Bubbly Creek,-9758696.948071491,5136817.240627698
bluntnose minnow,        42,Chicago Sanitary and Ship Canal at Route 83,2006,1,1,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
bluntnose minnow,        99,Bubbly Creek at Archer Avenue,2006,1,1,Bubbly Creek,-9758696.948071491,5136817.240627698
yellow bullhead,       100,Chicago River at Wells Street,2006,2,2,Chicago River,-9755339.676982595,5144145.544547021
yellow bullhead,        40,Chicago Sanitary and Ship Canal at Damen Avenue,2006,1,1,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
yellow bullhead,        99,Bubbly Creek at Archer Avenue,2006,1,1,Bubbly Creek,-9758696.948071491,5136817.240627698
channel catfish,        99,Bubbly Creek at Archer Avenue,2006,1,1,Bubbly Creek,-9758696.948071491,5136817.240627698
mosquitofish,        42,Chicago Sanitary and Ship Canal at Route 83,"2002, 2006",26,13,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
mosquitofish,        99,Bubbly Creek at Archer Avenue,2006,1,1,Bubbly Creek,-9758696.948071491,5136817.240627698
white perch,        99,Bubbly Creek at Archer Avenue,2006,1,1,Bubbly Creek,-9758696.948071491,5136817.240627698
yellow bass,        41,Chicago Sanitary and Ship Canal at Harlem Avenue,"2005, 2006",2,1,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
green sunfish,        40,Chicago Sanitary and Ship Canal at Damen Avenue,2006,5,5,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
pumpkinseed,        39,South Branch Chicago River at Madison Street,"2002, 2006",6,3,South Branch Chicago River,-9755836.894673718,5143332.001117509
pumpkinseed,        40,Chicago Sanitary and Ship Canal at Damen Avenue,"2002, 2006",41,20,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
pumpkinseed,        42,Chicago Sanitary and Ship Canal at Route 83,2006,5,5,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
smallmouth bass,       100,Chicago River at Wells Street,"2002, 2006",3,1,Chicago River,-9755339.676982595,5144145.544547021
smallmouth bass,        74,Chicago River at Lake Shore Drive,"2002, 2006",8,4,Chicago River,-9753112.184339533,5144283.186382862
largemouth bass,        40,Chicago Sanitary and Ship Canal at Damen Avenue,"2002, 2006",24,12,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
largemouth bass,        99,Bubbly Creek at Archer Avenue,"2002, 2006",6,3,Bubbly Creek,-9758696.948071491,5136817.240627698
black crappie,        40,Chicago Sanitary and Ship Canal at Damen Avenue,2006,1,1,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
green sunfish x longear,        59,Calumet-Sag Channel at Cicero Avenue,2006,1,1,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
freshwater drum,       108,South Branch Chicago River at Loomis Street,2006,1,1,South Branch Chicago River,-9758326.630046986,5137947.951214144
freshwater drum,        48,Chicago Sanitary and Ship Canal at Stephen Street,2006,1,1,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
round goby,       100,Chicago River at Wells Street,2006,1,1,Chicago River,-9755339.676982595,5144145.544547021
carp x goldfish,        78,Higgins Creek at Wille Road,2007,1,1,Higgins Creek,-9789066.534741784,5163778.873133089
common carp,        54,Thorn Creek at Joe Orr Road,2007,1,1,Thorn Creek,-9754419.852949658,5089457.720876058
green sunfish,        54,Thorn Creek at Joe Orr Road,"2003, 2007",39,19,Thorn Creek,-9754419.852949658,5089457.720876058
pumpkinseed,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),"2003, 2007",3,1,Wolf Lake Drain,-9744778.986089032,5110875.941051556
sauger,        22,Des Plaines River at Ogden Avenue,2007,1,1,Des Plaines River,-9775033.160497827,5134155.08934849
green sunfish x orangespot,        22,Des Plaines River at Ogden Avenue,2007,1,1,Des Plaines River,-9775033.160497827,5134155.08934849
green sunfish,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),"2003, 2007",5,2,Wolf Lake Drain,-9744778.986089032,5110875.941051556
white sucker,        54,Thorn Creek at Joe Orr Road,2007,1,1,Thorn Creek,-9754419.852949658,5089457.720876058
creek chub,        54,Thorn Creek at Joe Orr Road,"2003, 2007",15,7,Thorn Creek,-9754419.852949658,5089457.720876058
mosquitofish,        22,Des Plaines River at Ogden Avenue,2007,15,15,Des Plaines River,-9775033.160497827,5134155.08934849
goldfish,        46,North Branch Chicago River at Grand Avenue,"2002, 2007",3,1,North Branch Chicago River,-9756156.248665709,5144758.297382973
white perch,        46,North Branch Chicago River at Grand Avenue,"2001, 2002, 2003, 2006, 2007",19,3,North Branch Chicago River,-9756156.248665709,5144758.297382973
walleye,        36,North Shore Channel at Touhy Avenue,2007,1,1,North Shore Channel,-9763880.193364626,5162772.158302309
brown bullhead,        76,Little Calumet River at Halsted Street,"2005, 2006, 2007",4,1,Little Calumet River,-9756147.689317683,5109826.122291395
pumpkinseed,        58,Calumet-Sag Channel at Ashland Avenue,"2003, 2007",5,2,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
goldfish,        58,Calumet-Sag Channel at Ashland Avenue,"2003, 2007",4,2,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
smallmouth bass,        59,Calumet-Sag Channel at Cicero Avenue,2007,1,1,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
black crappie,        57,Little Calumet River at Ashland Avenue,2007,1,1,Little Calumet River,-9758345.734333793,5108959.791525536
white crappie,        86,Grand Calumet River at Burnham Avenue,2007,1,1,Grand Calumet River,-9744810.951107476,5105915.20396417
carp x goldfish,        52,Little Calumet River at Wentworth Avenue,2007,2,2,Little Calumet River,-9743762.861862704,5099049.677060608
emerald shiner,        58,Calumet-Sag Channel at Ashland Avenue,2007,1,1,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
golden shiner,        58,Calumet-Sag Channel at Ashland Avenue,2007,2,2,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
alewife,        46,North Branch Chicago River at Grand Avenue,"2003, 2007",3,1,North Branch Chicago River,-9756156.248665709,5144758.297382973
spotfin shiner,        57,Little Calumet River at Ashland Avenue,2007,1,1,Little Calumet River,-9758345.734333793,5108959.791525536
emerald shiner,        52,Little Calumet River at Wentworth Avenue,2007,1,1,Little Calumet River,-9743762.861862704,5099049.677060608
goldfish,        86,Grand Calumet River at Burnham Avenue,2007,2,2,Grand Calumet River,-9744810.951107476,5105915.20396417
sand shiner,        55,Calumet River at 130th Street,2007,1,1,Calumet River,-9748530.69045206,5110104.230203494
gizzard shad,        80,Salt Creek at Arlington Heights Road,2008,6,6,Salt Creek,-9796254.99295483,5162818.28541295
gizzard shad,        79,Salt Creek at Higgins Road,2008,1,1,Salt Creek,-9797375.60963822,5165675.359292448
golden shiner,        79,Salt Creek at Higgins Road,2008,1,1,Salt Creek,-9797375.60963822,5165675.359292448
orangespotted sunfish,        79,Salt Creek at Higgins Road,2008,1,1,Salt Creek,-9797375.60963822,5165675.359292448
spotfin shiner,        17,Des Plaines River at Oakton Street,"2004, 2008",3,1,Des Plaines River,-9782189.77125312,5164756.208222484
northern pike,        17,Des Plaines River at Oakton Street,"2004, 2008",7,3,Des Plaines River,-9782189.77125312,5164756.208222484
spotted sucker,        17,Des Plaines River at Oakton Street,"2004, 2008",8,4,Des Plaines River,-9782189.77125312,5164756.208222484
yellow bullhead,        17,Des Plaines River at Oakton Street,2008,1,1,Des Plaines River,-9782189.77125312,5164756.208222484
common carp,        17,Des Plaines River at Oakton Street,"2004, 2008",4,2,Des Plaines River,-9782189.77125312,5164756.208222484
northern pike,        20,Des Plaines River at Roosevelt Road,2008,1,1,Des Plaines River,-9776892.815460142,5140724.864266957
carp x goldfish,        20,Des Plaines River at Roosevelt Road,2008,1,1,Des Plaines River,-9776892.815460142,5140724.864266957
largemouth bass,        19,Des Plaines River at Belmont Avenue,"2004, 2008",2,1,Des Plaines River,-9779371.53102385,5151588.097147647
creek chub,        19,Des Plaines River at Belmont Avenue,2008,1,1,Des Plaines River,-9779371.53102385,5151588.097147647
northern pike,        19,Des Plaines River at Belmont Avenue,2008,1,1,Des Plaines River,-9779371.53102385,5151588.097147647
white sucker,        19,Des Plaines River at Belmont Avenue,"2004, 2008",3,1,Des Plaines River,-9779371.53102385,5151588.097147647
northern pike,        23,Des Plaines River at Willow Springs Road,"2004, 2008",2,1,Des Plaines River,-9782918.22214516,5121485.94585754
orangespotted sunfish,        23,Des Plaines River at Willow Springs Road,"2004, 2008",6,3,Des Plaines River,-9782918.22214516,5121485.94585754
walleye,        23,Des Plaines River at Willow Springs Road,2008,1,1,Des Plaines River,-9782918.22214516,5121485.94585754
rock bass,        23,Des Plaines River at Willow Springs Road,2008,1,1,Des Plaines River,-9782918.22214516,5121485.94585754
gizzard shad,        23,Des Plaines River at Willow Springs Road,"2004, 2008",12,6,Des Plaines River,-9782918.22214516,5121485.94585754
green sunfish x bluegill,        92,Chicago Sanitary and Ship Canal at Lockport (16th Street),2008,1,1,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
chinook salmon,        76,Little Calumet River at Halsted Street,2008,1,1,Little Calumet River,-9756147.689317683,5109826.122291395
white perch,        41,Chicago Sanitary and Ship Canal at Harlem Avenue,"2006, 2007, 2008",4,1,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
carp x goldfish,        36,North Shore Channel at Touhy Avenue,"2003, 2004, 2006, 2008",4,1,North Shore Channel,-9763880.193364626,5162772.158302309
chinook salmon,        36,North Shore Channel at Touhy Avenue,2008,1,1,North Shore Channel,-9763880.193364626,5162772.158302309
spotfin shiner,        23,Des Plaines River at Willow Springs Road,2008,2,2,Des Plaines River,-9782918.22214516,5121485.94585754
yellow bullhead,        78,Higgins Creek at Wille Road,2008,2,2,Higgins Creek,-9789066.534741784,5163778.873133089
white sucker,        78,Higgins Creek at Wille Road,"2001, 2004, 2005, 2007, 2008",28,5,Higgins Creek,-9789066.534741784,5163778.873133089
goldfish,        77,Higgins Creek at Elmhurst Road,2008,1,1,Higgins Creek,-9789503.463971145,5164194.269628853
yellow bullhead,        90,Poplar Creek at Route 19,"2004, 2008",6,3,Poplar Creek,-9823047.74711789,5165577.94301833
northern pike,        91,Des Plaines River at Material Service Road,2008,1,1,Des Plaines River,-9803757.593335949,5100729.017568359
common carp,        24,Salt Creek at Wolf Road,"2004, 2008",7,3,Salt Creek,-9785016.345950183,5134927.534095098
bluegill,        24,Salt Creek at Wolf Road,"2004, 2008",3,1,Salt Creek,-9785016.345950183,5134927.534095098
largemouth bass,        29,Des Plaines River at Stephen Street,"2004, 2008",5,2,Des Plaines River,-9796385.089554068,5113414.579669373
fantail darter,        90,Poplar Creek at Route 19,2008,1,1,Poplar Creek,-9823047.74711789,5165577.94301833
common shiner,        90,Poplar Creek at Route 19,2008,2,2,Poplar Creek,-9823047.74711789,5165577.94301833
green sunfish x orangespot,        64,West Branch DuPage River at Lake Street,2008,1,1,West Branch Du Page River,-9810939.89297938,5157781.364521299
fathead minnow,        12,Buffalo Creek at Lake-Cook Road,2008,8,8,Buffalo Creek,-9792683.493154097,5183751.728609537
golden shiner,        12,Buffalo Creek at Lake-Cook Road,2008,1,1,Buffalo Creek,-9792683.493154097,5183751.728609537
hornyhead chub,        24,Salt Creek at Wolf Road,2008,2,2,Salt Creek,-9785016.345950183,5134927.534095098
white sucker,        24,Salt Creek at Wolf Road,"2004, 2008",2,1,Salt Creek,-9785016.345950183,5134927.534095098
bigmouth shiner,       109,Salt Creek at Brookfield Avenue,2008,22,22,Salt Creek,-9778479.118246686,5134478.740255858
oriental weatherfish,        29,Des Plaines River at Stephen Street,2008,2,2,Des Plaines River,-9796385.089554068,5113414.579669373
black crappie,        29,Des Plaines River at Stephen Street,"2004, 2008",7,3,Des Plaines River,-9796385.089554068,5113414.579669373
