stationname,waterbody,date,do_min,do_max,do_avg,x,y
Linden Street,North Shore Channel,"九月 14, 1998",2.282492,6.295773,4.29829937,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 15, 1998",0.1174923,2.444286,0.682075,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 16, 1998",5.205179,7.794822,6.6754465,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 17, 1998",6.646429,8.17625,7.28437504,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 18, 1998",6.71875,8.077679,7.38163687,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 19, 1998",6.841086,8.309122,7.54974512,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 20, 1998",5.219658,8.200908,6.78075883,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 21, 1998",6.811265,8.414281,7.45057441,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 22, 1998",6.765392,8.131873,7.37071604,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 23, 1998",7.59354,8.900392,8.08182725,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 24, 1998",7.351132,8.694282,7.98835504,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 25, 1998",7.14391,8.575391,7.89029925,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 26, 1998",6.630392,8.963726,8.0884937,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 27, 1998",7.38317,9.083539,8.1283547,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 28, 1998",7.382984,8.930763,8.22321587,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 29, 1998",7.285392,8.586061,7.77372354,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"九月 30, 1998",5.382415,8.049499,7.20392575,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 1, 1998",7.428457,8.693354,7.77309237,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 2, 1998",7.466269,8.82679,8.10600879,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 3, 1998",3.678353,7.631999,6.02100883,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 4, 1998",3.30179,9.034707,7.80892579,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 5, 1998",5.473353,8.768145,7.53059212,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 6, 1998",2.042832,5.614499,3.48643218,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 7, 1998",1.477923,9.105841,7.00188187,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 8, 1998",8.570841,9.555424,8.95729858,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 9, 1998",8.832507,9.746674,9.2347987,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 10, 1998",8.762091,10.02626,9.3606322,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 11, 1998",8.911674,10.00584,9.478132,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 12, 1998",7.526674,9.62709,8.72646541,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 13, 1998",6.675849,7.808341,7.2782237,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 14, 1998",5.767724,6.534652,6.16280258,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 15, 1998",4.25335,5.862568,5.09030258,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 16, 1998",3.2371,4.364235,3.85238604,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 17, 1998",0.9368913,4.22986,2.57405276,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 18, 1998",0.5645997,3.771839,1.84655272,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 19, 1998",0.4574643,0.8425164,0.51613622,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 20, 1998",0.5913185,4.746441,2.24868505,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 21, 1998",4.15915,5.568316,4.76654529,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 22, 1998",5.228524,6.204774,5.88696183,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 23, 1998",4.298316,5.812274,5.23112854,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 24, 1998",3.393316,4.673108,4.187795,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 25, 1998",2.317274,3.431858,3.04959805,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 26, 1998",1.532274,2.979566,2.38925337,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 27, 1998",0.5208158,3.40887,1.40001953,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 28, 1998",0.4436612,3.586317,1.2444685,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 29, 1998",4.167202,5.506057,4.91071837,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 30, 1998",1.698817,5.011109,3.43738495,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十月 31, 1998",0.6665254,2.679182,1.63155149,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 1, 1998",1.640432,3.034494,2.36280145,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 2, 1998",1.562827,1.967515,1.74988458,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 3, 1998",1.370536,2.152197,1.66706712,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 4, 1998",1.020947,1.955822,1.594093,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 5, 1998",0.263947,1.189614,0.7208429,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 6, 1998",0.04969699,0.7119052,0.28050945,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 7, 1998",0,0.3706551,0.09430736,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 8, 1998",0,0.4592384,0.21605709,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 9, 1998",0,0.0959466,0.00399777,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 10, 1998",0,0.9989464,0.28518408,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 11, 1998",0,1.10753,0.34413322,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 12, 1998",0,0.119113,0.00908531,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 13, 1998",0,1.752767,0.51089427,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 14, 1998",0.8871417,2.270423,1.41284481,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 15, 1998",0.9584439,3.009902,1.66409491,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 16, 1998",0.4212044,1.633183,1.31409495,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 17, 1998",0.2292253,1.172298,0.70201172,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 18, 1998",0.3268816,1.56834,0.73984812,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 19, 1998",1.159434,2.063525,1.54556769,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 20, 1998",0.7700252,1.418525,1.11969171,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 21, 1998",0.2995252,0.6730252,0.4473585,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 22, 1998",0.6990252,1.412025,1.09377505,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十一月 23, 1998",1.241525,1.654525,1.40815,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 1, 1998",0.259176,0.3651655,0.28856828,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 2, 1998",0.202926,0.2603218,0.22524371,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 3, 1998",0.1980823,0.2155303,0.20566045,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 4, 1998",0.207822,0.2209991,0.21482719,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 5, 1998",0.212145,0.2278741,0.22232727,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 6, 1998",0.2116242,0.2584993,0.23274401,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 7, 1998",0.247666,0.3819368,0.27107741,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 8, 1998",0.2528223,1.657303,0.60928126,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 9, 1998",1.031887,1.255533,1.10110545,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 10, 1998",0.9659493,1.158658,1.0219389,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 11, 1998",0.9546993,1.257616,1.02402222,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 12, 1998",0.970741,1.451679,1.22110566,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 13, 1998",0.9684494,1.589699,1.2498557,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 14, 1998",1.243762,2.065741,1.75235566,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 15, 1998",1.179075,2.187291,1.74518133,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 16, 1998",1.140803,1.602826,1.3534515,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 17, 1998",1.03116,2.013243,1.58613004,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 18, 1998",1.162588,3.05985,2.35547516,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 19, 1998",2.251636,2.8561,2.64273716,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 20, 1998",2.376815,3.172707,2.80083241,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 21, 1998",2.18241,3.08374,2.58589387,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 22, 1998",1.88374,2.62874,2.17363583,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 23, 1998",1.59874,2.14374,1.85946916,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 24, 1998",0.9537398,1.74874,1.32613582,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 25, 1998",1.00874,1.53249,1.24196916,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 26, 1998",0.8531147,1.326865,1.06863577,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 27, 1998",0.5593647,1.299365,1.01905242,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 28, 1998",0.4731147,1.118115,0.80280223,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 29, 1998",0.5962397,1.391865,0.91321895,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 30, 1998",0.1493647,0.5981147,0.3228022,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"十二月 31, 1998",0.08248967,0.5674897,0.31530217,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 1, 1999",0,0.2881146,0.0709575,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 2, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 3, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 4, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 5, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 6, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 7, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 8, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 9, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 10, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 11, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 12, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 13, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 14, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 15, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 16, 1999",0,0.5124894,0.02765536,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 17, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 18, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 19, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 20, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 21, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 22, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 23, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 24, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 25, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 26, 1999",0,0,0,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 27, 1999",0,1.084364,0.31890082,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 28, 1999",1.053739,2.419989,1.91738483,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 29, 1999",2.418739,3.024364,2.6540515,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 30, 1999",3.113739,6.171864,5.13738483,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"一月 31, 1999",5.865614,6.128739,6.00988487,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 1, 1999",4.969364,6.159989,5.7915515,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 2, 1999",3.711864,4.808739,4.2753015,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 16, 1999",0.1727625,2.676763,1.19976243,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 17, 1999",0,0.1642625,0.14322029,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 18, 1999",0.1315124,0.1572624,0.14305406,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 19, 1999",0.1570124,0.1932624,0.17397073,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 20, 1999",0.1657624,0.2017623,0.17988738,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 21, 1999",0.1885123,0.2190123,0.19955396,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 22, 1999",0.2042623,0.2307623,0.21547063,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 23, 1999",0.2227623,0.2487622,0.23430395,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 24, 1999",0.2177622,0.2607622,0.24605386,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 25, 1999",0.2575122,0.2995122,0.27947053,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 26, 1999",0.2815122,0.4152622,0.2999705,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 27, 1999",0.2942621,0.4335122,0.31797044,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"二月 28, 1999",0.3115121,0.708762,0.40138709,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"三月 1, 1999",0.3447621,2.122262,1.24272037,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"三月 2, 1999",1.056512,2.067262,1.65742866,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"三月 16, 1999",7.407231,9.539263,7.98865985,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"三月 17, 1999",4.744419,7.197856,5.69590337,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"三月 18, 1999",4.700201,7.38145,5.99632012,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"三月 19, 1999",3.63395,7.059888,5.04382029,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"三月 20, 1999",2.497545,4.349107,3.2375705,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"三月 21, 1999",2.372857,7.134732,5.10840383,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"三月 22, 1999",4.015201,8.188482,5.48923741,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"三月 23, 1999",3.33692,4.510357,3.81761766,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"三月 30, 1999",9.302157,16.20304,12.25634962,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"三月 31, 1999",7.78997,12.9369,10.47676704,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 1, 1999",8.980751,10.84471,9.70093333,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 2, 1999",8.883304,10.0607,9.69760012,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 3, 1999",6.507157,10.17763,9.31676654,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 4, 1999",5.095387,8.671063,6.48799991,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 5, 1999",3.578355,5.707939,4.59588141,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 6, 1999",2.84096,7.781564,5.79595777,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 7, 1999",7.193543,7.64198,7.52297016,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 8, 1999",6.316356,7.424897,6.94255354,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 9, 1999",5.816772,9.947084,7.87172029,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 10, 1999",4.57146,7.029272,5.71588704,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 11, 1999",0.4538558,4.891772,2.08380372,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 12, 1999",0.3344809,3.296252,1.87047042,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 13, 1999",0.2176059,1.666773,0.73113533,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 27, 1999",0.1257715,0.8083236,0.32704752,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 28, 1999",0.1136361,0.3887402,0.18486004,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 29, 1999",0.04806321,1.715511,0.32694341,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"四月 30, 1999",0.01868822,0.4067611,0.0861101,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 1, 1999",0.02014659,0.152907,0.07694346,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 2, 1999",0.02884453,1.171605,0.20236016,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 3, 1999",0,0.2132717,0.07648665,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 4, 1999",0.08248185,0.2579506,0.18160287,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 5, 1999",0,0.0813881,0.03074506,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 6, 1999",0,0.08873174,0.01507703,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 7, 1999",0,0.04810668,0.02175786,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 8, 1999",0.04263791,0.3274816,0.16547642,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 9, 1999",0.3463879,0.7645128,0.56297636,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 10, 1999",0.6835753,0.8793566,0.76380965,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 11, 1999",0.3383621,1.266388,0.90265004,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 12, 1999",0.2608622,2.756696,0.73091427,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 13, 1999",0.2038831,0.833258,0.32174766,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 14, 1999",0.2528415,3.753466,0.93299772,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 15, 1999",0.2582582,0.3295083,0.28591449,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 16, 1999",0.2354458,0.3990917,0.30883124,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 17, 1999",0.2721126,0.3926333,0.33091465,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"五月 18, 1999",0.2393001,0.3151335,0.27518248,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 1, 1999",6.397206,8.020331,7.37684162,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 2, 1999",0.925852,6.701789,3.67392491,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 3, 1999",0.7722063,0.9964771,0.82267497,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 4, 1999",0.7644979,3.393665,2.12725836,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 5, 1999",0.7646022,0.7877272,0.77600849,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 6, 1999",0.7158524,0.7794982,0.75934191,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 7, 1999",0.1833525,0.7004357,0.560592,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 8, 1999",0.1644983,8.021686,5.89559208,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 22, 1999",3.043347,6.98918,4.95126316,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 23, 1999",1.035847,8.473347,6.67292995,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 24, 1999",6.713347,8.887513,8.52668016,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 25, 1999",2.96918,9.317513,7.2800135,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 26, 1999",2.173347,8.779181,6.27293025,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 27, 1999",0.4583471,7.634181,4.22668044,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 28, 1999",0.4558471,6.284181,3.00209723,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 29, 1999",0.5591806,8.188981,5.52093697,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"六月 30, 1999",7.442002,8.133044,7.78986637,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 1, 1999",0.675335,7.298252,4.36403291,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 2, 1999",6.339189,9.221065,8.346533,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 3, 1999",5.39596,8.86898,7.40444941,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 4, 1999",8.574397,9.477418,8.99028266,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 5, 1999",9.356897,9.991272,9.649866,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 6, 1999",5.946168,10.29574,9.05096254,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 7, 1999",9.481468,10.46949,10.06842095,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 8, 1999",9.216677,10.36324,9.85633758,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 9, 1999",0.5687073,9.167249,5.7550875,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 10, 1999",8.874176,10.09386,9.44008741,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 11, 1999",8.630479,9.145061,8.84925412,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 12, 1999",8.648499,9.577092,9.27800391,-9761172.894073607,5172041.593373926
Linden Street,North Shore Channel,"七月 13, 1999",9.282248,10.27261,9.61249479,-9761172.894073607,5172041.593373926
